City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,sisimiut,66.9395,-53.6735,-0.97,94,100,8.16,GL,2023-12-12
146,nguigmi,14.2495,13.1092,18.36,32,2,5.87,NE,2023-12-12
147,zhangye,38.9342,100.4517,2.2,16,2,3.18,CN,2023-12-12
148,nova sintra,14.8667,-24.7167,23.24,67,15,7.11,CV,2023-12-12
149,la ronge,55.1001,-105.2842,-11.86,61,0,6.69,CA,2023-12-12
150,nikolayevsk-on-amure,53.1406,140.73,-23.54,84,14,2.18,RU,2023-12-12
151,xiuyan,40.2928,123.2744,-13.77,82,72,3.1,CN,2023-12-12
152,chaparral,3.7232,-75.4832,24.18,67,9,2.51,CO,2023-12-12
153,weno,7.4515,151.8468,25.97,94,100,3.6,FM,2023-12-12
154,tougan,13.0667,-3.0667,21.78,18,0,4.31,BF,2023-12-12
155,cabo san lucas,22.8909,-109.9124,25.9,65,0,2.06,MX,2023-12-12
156,el porvenir,13.7617,-87.3458,23.47,68,51,3.02,HN,2023-12-12
157,ust-nera,64.5667,143.2,-20.02,98,100,3.5,RU,2023-12-12
158,haiku-pauwela,20.9219,-156.3051,29.01,58,20,7.2,US,2023-12-12
159,mount pearl,47.5166,-52.7813,12.19,94,20,12.35,CA,2023-12-12
160,nyrob,60.733,56.7202,-25.75,86,100,4.22,RU,2023-12-12
161,manicore,-5.8092,-61.3003,22.66,99,97,1.59,BR,2023-12-12
162,happy valley-goose bay,53.3168,-60.3315,-1.83,93,100,2.57,CA,2023-12-12
163,vorgashor,67.5833,63.95,-17.56,89,100,6.45,RU,2023-12-12
164,prado,-17.3411,-39.2208,25.36,84,66,5.83,BR,2023-12-12
165,saint-louis,16.3333,-15.0,24.14,17,61,4.41,SN,2023-12-12
166,hithadhoo,-0.6,73.0833,27.2,78,45,2.28,MV,2023-12-12
167,monrovia,6.3005,-10.7969,25.87,80,24,2.05,LR,2023-12-12
168,avarua,-21.2078,-159.775,26.03,83,100,9.77,CK,2023-12-12
169,namibe,-15.1961,12.1522,21.93,72,59,2.74,AO,2023-12-12
170,seosan,36.7817,126.4522,6.49,73,100,5.3,KR,2023-12-12
171,flying fish cove,-10.4217,105.6791,26.82,73,40,3.6,CX,2023-12-12
172,burang,30.25,81.1667,-15.29,61,1,1.58,CN,2023-12-12
173,ben arous,36.7531,10.2189,14.96,82,20,2.06,TN,2023-12-12
